species	gi	accession	genome_size	group	family	boot_A	boot_B1	boot_B23	boot_C1	boot_C3	boot_E	boot_F	boot_G	class_A	class_B1	class_B23	class_C1	class_C3	class_E	class_F	class_G	predicted
Gelidium elegans	NC_029858.1	NC_029858.1	000000	RED	RED	25.0	0.0	75.0	0.0	0.0	0.0	0.0	0.0	3.828865691612993e-05	1.0105274957814105e-13	0.9998722105637623	1.4328642610660543e-10	8.454654937441948e-05	1.7987019387239037e-06	3.0850223587513433e-06	7.036226244020334e-08	['B23']
Trithuria inconspicua	456330969	NC_020372.1	165389	bMAG	Hydatellaceae	3.0	8.0	71.0	2.0	1.0	0.0	15.0	0.0	0.0003781898907668312	5.695109193390306e-05	0.993702932642057	3.0593929149700126e-07	0.00017337620264664736	0.005102633667682943	6.280227924093587e-06	0.0005793303376969767	['B23']
Gossypium longicalyx	570759642	NC_023216.1	160241	EUDI	Malvaceae	10.0	3.0	68.0	2.0	0.0	0.0	17.0	0.0	2.1872474917286917e-05	2.620017507175313e-06	0.997518812826269	6.504094129038221e-08	4.236874498305801e-05	0.0022570242771885124	1.1877254996670551e-06	0.00015604889269406008	['B23']
Quercus rubra	443267285	NC_020152.1	161304	EUDI	Fagaceae	2.0	3.0	82.0	1.0	0.0	0.0	11.0	1.0	0.0006508724656034368	1.7296622268793224e-05	0.9646026050113075	5.309963006955712e-07	0.0004954000018836552	0.03350877865047655	4.4181672560039395e-05	0.0006803345795993951	['B23']
Trochodendron aralioides	511348509	NC_021426.1	165945	EUDI	Trochodendraceae	8.0	3.0	80.0	1.0	0.0	0.0	8.0	0.0	1.2741402085328825e-05	1.4765022530055906e-06	0.9997543438469343	2.301763717241406e-09	2.2711543383161736e-05	0.00018271818946242896	2.499777374593351e-07	2.575623638074979e-05	['B23']
Porphyridium purpureum	568247562	NC_023133.1	217694	RED	Porphyridiaceae	4.0	0.0	96.0	0.0	0.0	0.0	0.0	0.0	6.951641298642688e-07	4.8406821929748147e-14	0.999994106830049	4.905572742643284e-12	5.0950479212439125e-06	7.922201773943815e-08	8.964308034056585e-09	1.4766620138978792e-08	['B23']
Calanthe triplicata	669100248	NC_024544.1	158759	LILI	Orchidaceae	8.0	4.0	76.0	4.0	1.0	0.0	6.0	1.0	0.0003353622792840237	2.4197770375396122e-06	0.9991253800513136	1.1179489150119226e-07	8.451632759901813e-05	0.00021892880085750113	1.463047634170612e-06	0.0002318179213826605	['B23']
Cephalotaxus wilsoniana	352950958	NC_016063.1	136196	GYMNO	Taxaceae	1.0	5.0	84.0	3.0	0.0	0.0	7.0	0.0	0.04185946811300886	0.001107864518698897	0.8929364061372732	0.0004047493825264465	0.0012097876199886094	0.002135848233861966	0.00046401420600281627	0.05988186178863917	['B23']
Eucalyptus obliqua	545716224	NC_022378.1	159527	EUDI	Myrtaceae	7.0	6.0	73.0	1.0	1.0	0.0	11.0	1.0	0.0007576502308122228	0.00014010420666942327	0.9619410145663465	1.664214967448094e-06	0.0003238551725190968	0.03534601788029883	2.1248852260992533e-05	0.001468444876125573	['B23']
Prunus mume	595789746	NC_023798.1	157712	EUDI	Rosaceae	3.0	8.0	76.0	1.0	1.0	0.0	11.0	0.0	0.001384665294036764	0.00013864283992966889	0.9739859654899695	1.1815589681924726e-06	0.000462136455538913	0.022915572798060658	3.099525957723958e-05	0.0010808403039190152	['B23']
Gossypium incanum	394830607	NC_018109.1	159205	EUDI	Malvaceae	3.0	6.0	74.0	1.0	1.0	0.0	14.0	1.0	0.0008694532998868065	8.474282293849188e-05	0.9735607740163488	9.845738800888224e-07	0.0003990546387372576	0.024178710377654074	3.075211220605644e-05	0.0008755281583483372	['B23']
Asterionella formosa	662012242	NC_024079.1	121238	DTM	Fragilariaceae	23.0	0.0	77.0	0.0	0.0	0.0	0.0	0.0	0.003547212878067884	8.97989834295914e-12	0.9957361549303106	1.767289621560891e-09	0.0006644281668124354	4.308753731342179e-05	8.678078369669194e-06	4.3663285661552703e-07	['B23']
Rhynchoryza subulata	374249599	NC_016718.1	136303	LILI	Poaceae	5.0	6.0	74.0	2.0	1.0	0.0	12.0	0.0	5.07037748675348e-05	6.870570617119095e-06	0.9995814170258834	1.13443135420341e-08	5.2392022673645766e-05	0.00016826811582300617	1.4421218502762568e-06	0.00013889502397130326	['B23']
Chara vulgaris	NC_008097.1	NC_008097.1	000000	Charo	charo	1.0	9.0	88.0	0.0	0.0	0.0	2.0	0.0	5.242722704549466e-05	2.417336660002976e-07	0.9999016944318988	2.2893492027274495e-10	3.336871066300859e-05	8.217445841947021e-06	1.0719933543406983e-07	3.9430226143438414e-06	['B23']
Eucalyptus cladocalyx	545717600	NC_022394.1	160213	EUDI	Myrtaceae	3.0	7.0	77.0	1.0	1.0	0.0	11.0	0.0	0.0010630681847194666	8.175266421678e-05	0.9740546942076783	1.2299870527479226e-06	0.00041980614127178696	0.023350966483776905	3.2127460180010884e-05	0.0009963548711039347	['B23']
Fritillaria taipaiensis	570700392	NC_023247.1	151693	LILI	Liliaceae	2.0	4.0	88.0	1.0	0.0	0.0	5.0	0.0	0.00021100825811025937	2.5968693248213764e-05	0.9987858841464204	1.9385372775616708e-08	0.00013237476397384514	0.0006205882363780455	2.743158713926047e-06	0.0002214133577824132	['B23']
Glycine cyrtoloba	526175872	NC_021645.1	152381	EUDI	Fabaceae	6.0	1.0	81.0	1.0	1.0	0.0	8.0	2.0	7.86478599571648e-06	3.33004419781743e-07	0.9995509224619055	1.0656976082497399e-08	2.3716036138051103e-05	0.0003766698069468253	5.590891571673437e-07	3.9924158460820304e-05	['B23']
Lithodesmium undulatum	662015790	NC_024085.1	122660	DTM	Lithodesmiaceae	28.0	0.0	72.0	0.0	0.0	0.0	0.0	0.0	0.003664062523817202	3.1998706243185176e-11	0.9961113673459262	6.248504600867862e-11	0.00019370833228135064	3.073217333671097e-05	3.069908175150694e-08	9.883107324113828e-08	['B23']
Gossypium herbaceum subsp. africanum	372291463	NC_016692.1	160315	EUDI	Malvaceae	3.0	6.0	74.0	1.0	1.0	0.0	14.0	1.0	0.0007841640191978448	7.839210242055932e-05	0.9737562648463735	8.320500470973737e-07	0.0003893967552963321	0.024183173410778525	3.047371520348253e-05	0.0007773031006825715	['B23']
Chrysobalanus icaco	630716125	NC_024061.1	162775	EUDI	Chrysobalanaceae	3.0	7.0	79.0	1.0	1.0	0.0	9.0	0.0	0.000728566901667897	3.646403597990487e-05	0.9929240914817548	9.162619587509704e-07	0.00022994795240073994	0.005199493897473453	6.766664504323754e-06	0.0008737528042601303	['B23']
Francoa sonchifolia	501770833	NC_021101.1	157312	EUDI	Francoaceae	4.0	3.0	83.0	1.0	1.0	0.0	8.0	0.0	1.3917962756069527e-05	9.103148175361153e-07	0.9993507860538854	1.830819315273322e-08	3.3028275057084696e-05	0.0005417609923079376	5.98237709732542e-07	5.897985527314114e-05	['B23']
Juniperus bermudiana	619812505	NC_024021.1	127659	GYMNO	Cupressaceae	8.0	0.0	83.0	8.0	0.0	0.0	1.0	0.0	0.003062443477410658	1.306632917641256e-07	0.9944809153482104	1.463707192749316e-05	9.981345592009702e-05	5.7624647336108114e-05	5.246764627356453e-07	0.0022839106594406506	['B23']
Asclepias nivea	545719320	NC_022431.1	161592	EUDI	Apocynaceae	3.0	4.0	75.0	1.0	1.0	0.0	16.0	0.0	0.0006573380773110642	8.423542622155838e-05	0.9111013080193604	2.1677900567048133e-06	0.0007030546959538556	0.08187772504488981	0.00024265443045999293	0.005331516515746415	['B23']
Picea morrisonicola	353351805	NC_016069.1	124168	GYMNO	Pinaceae	8.0	17.0	74.0	1.0	0.0	0.0	0.0	0.0	0.011731579281737825	0.00029595411841716254	0.9868218936467529	1.7013451270548033e-07	0.00021774030226862724	0.00017932207823913356	2.534719220406593e-07	0.0007530869661496537	['B23']
Silene vulgaris	374249683	NC_016727.1	151583	EUDI	Caryophyllaceae	6.0	16.0	65.0	2.0	0.0	0.0	8.0	3.0	0.0052449194532124925	0.0007721979653008436	0.8575196335180205	2.4672209360500785e-05	0.0007258834377899689	0.12812730431229413	2.976842735125234e-05	0.007555620676670195	['B23']
Thalassiosira weissflogii	700082608	NC_025314.1	127601	DTM	Thalassiosiraceae	13.0	0.0	87.0	0.0	0.0	0.0	0.0	0.0	0.0029742187139995113	9.492663621196332e-11	0.9964382978310933	9.509249093892775e-10	0.00044147378189981015	0.00014488699272254845	6.726888813071361e-07	4.489455520119887e-07	['B23']
Charokybus atmophyticus	NC_008822.1	NC_008822.1	000000	Charo	charo	50.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	0.11930632247177769	2.4788523143091975e-09	0.8691224772127498	4.811365211541722e-07	0.004728803363985732	0.0066337825562004064	0.00018470277045359225	2.342800945924314e-05	['B23']
Staurastrum punctulatum	NC_008116.1	NC_008116.1	000000	Charo	charo	1.0	18.0	67.0	1.0	0.0	0.0	13.0	0.0	0.014609288160413014	0.21428634013766992	0.6788056189988048	6.559412758090164e-05	0.0013465519415327325	0.016872128153976946	0.00010999863853686191	0.07390447984148481	['B23']
Fritillaria cirrhosa	675155048	NC_024728.1	151991	LILI	Liliaceae	2.0	4.0	88.0	1.0	0.0	0.0	5.0	0.0	0.00021100825811025937	2.5968693248213764e-05	0.9987858841464204	1.9385372775616708e-08	0.00013237476397384514	0.0006205882363780455	2.743158713926047e-06	0.0002214133577824132	['B23']
Diplopterygium glaucum	649131067	NC_024158.1	151007	FRN	Gleicheniaceae	0.0	6.0	73.0	0.0	0.0	1.0	11.0	9.0	0.01824805873381188	0.00036512162762593694	0.903230770113801	0.00011661990696292448	0.015111366148770929	0.0022855257166568502	0.00431309467705792	0.056329443075312596	['B23']
Thamnocalamus spathiflorus	675155405	NC_024724.1	139778	LILI	Poaceae	1.0	7.0	76.0	1.0	1.0	0.0	14.0	0.0	3.191842330876386e-05	2.3082360593897688e-05	0.99900763681718	1.1251233481802914e-08	7.867739691451958e-05	0.0005445924863613093	4.908699696685269e-06	0.00030917256471123066	['B23']
Licania heteromorpha	630716224	NC_024062.1	162833	EUDI	Chrysobalanaceae	3.0	5.0	81.0	1.0	1.0	0.0	9.0	0.0	0.0011472032520213526	8.01371900404934e-05	0.9885370301303603	1.4372047241018527e-06	0.0003189801885926619	0.00865287316685449	1.2944608003685447e-05	0.0012493942594027437	['B23']
Glycine soja	558604116	NC_022868.1	152217	EUDI	Fabaceae	4.0	6.0	77.0	1.0	1.0	0.0	10.0	1.0	0.0001640669784237603	1.5317268149685012e-05	0.9935588270676343	2.2799941607013587e-07	0.00013219856587364166	0.005781168379263226	4.320463133495357e-06	0.000343873278105757	['B23']
Eucalyptus diversicolor	545718288	NC_022402.1	160214	EUDI	Myrtaceae	3.0	7.0	77.0	1.0	1.0	0.0	11.0	0.0	0.0010630681847194666	8.175266421678e-05	0.9740546942076783	1.2299870527479226e-06	0.00041980614127178696	0.023350966483776905	3.2127460180010884e-05	0.0009963548711039347	['B23']
Oligostachyum shiuyingianum	675154881	NC_024722.1	139647	LILI	Poaceae	2.0	7.0	76.0	1.0	1.0	0.0	13.0	0.0	1.5111274813143358e-05	3.3688523046071014e-05	0.9990465332584431	8.17024720515875e-09	6.185115901400014e-05	0.0004986292796365234	3.876116408656113e-06	0.00034030221839140154	['B23']
Cylindrotheca closterium	662012663	NC_024082.1	165809	DTM	Bacillariaceae	9.0	4.0	87.0	0.0	0.0	0.0	0.0	0.0	6.566757322584572e-05	2.032783864277596e-08	0.9999137253248555	2.3196018376734647e-11	1.672829938185321e-05	3.2211381147313265e-06	1.8702151524339528e-09	6.354431723518501e-07	['B23']
Eucalyptus delegatensis	545716396	NC_022380.1	159724	EUDI	Myrtaceae	7.0	6.0	73.0	1.0	1.0	0.0	11.0	1.0	0.0007576502308122228	0.00014010420666942327	0.9619410145663465	1.664214967448094e-06	0.0003238551725190968	0.03534601788029883	2.1248852260992533e-05	0.001468444876125573	['B23']
Isachne distichophylla	694137339	NC_025236.1	135782	LILI	Poaceae	1.0	7.0	76.0	1.0	1.0	0.0	14.0	0.0	2.3843611965056736e-05	3.360278180323347e-05	0.998773748804459	1.3050202728948118e-08	7.635696635514972e-05	0.0006947828924255354	5.634712120591428e-06	0.00039201718066854505	['B23']
Saccharina japonica	403066520	NC_018523.1	130584	DTM	Laminariaceae	6.0	0.0	94.0	0.0	0.0	0.0	0.0	0.0	4.367740487900393e-07	2.461224807421199e-14	0.9999983924972297	2.8539662381757416e-14	1.1148423308736428e-06	5.4935378372919844e-08	2.993059094899403e-11	9.210284117756672e-10	['B23']
Nannochloropsis limnetica	543132528	NC_022262.1	117806	DTM	Monodopsidaceae	31.0	0.0	69.0	0.0	0.0	0.0	0.0	0.0	7.995143519992207e-06	3.357117657807799e-14	0.9999830194349297	2.459438305847997e-13	7.743075975401524e-06	1.240249334869147e-06	3.8869774859789497e-10	1.707262649509299e-09	['B23']
Licania sprucei	630716416	NC_024065.1	162228	EUDI	Chrysobalanaceae	3.0	5.0	80.0	1.0	1.0	0.0	10.0	0.0	0.0011472032520213526	8.01371900404934e-05	0.9885370301303603	1.4372047241018527e-06	0.0003189801885926619	0.00865287316685449	1.2944608003685447e-05	0.0012493942594027437	['B23']
Fargesia nitida	675154294	NC_024715.1	139535	LILI	Poaceae	1.0	7.0	76.0	1.0	1.0	0.0	14.0	0.0	2.3843611965056736e-05	3.360278180323347e-05	0.998773748804459	1.3050202728948118e-08	7.635696635514972e-05	0.0006947828924255354	5.634712120591428e-06	0.00039201718066854505	['B23']
Nothoceros aenigmaticus	452118847	NC_020259.1	153208	WRTMSS	Dendrocerotaceae	2.0	1.0	95.0	0.0	0.0	0.0	2.0	0.0	1.267207511548459e-05	3.698614021023828e-08	0.9999612636128533	6.116557276307547e-10	1.5673085147126573e-05	4.717726943141298e-06	6.702664768258333e-08	5.568875497527335e-06	['B23']
Dasypogon bromeliifolius	456061865	NC_020367.1	157858	LILI	Dasypogonaceae	1.0	4.0	86.0	1.0	1.0	0.0	7.0	0.0	0.0010225696986464964	5.505928860032383e-05	0.9925079054295591	1.2979197876913017e-06	0.0003514166282813108	0.004440843538414626	3.0077149276044898e-05	0.001590830347434461	['B23']
Eucalyptus melliodora	545717428	NC_022392.1	160386	EUDI	Myrtaceae	3.0	7.0	77.0	1.0	1.0	0.0	11.0	0.0	0.0010630681847194666	8.175266421678e-05	0.9740546942076783	1.2299870527479226e-06	0.00041980614127178696	0.023350966483776905	3.2127460180010884e-05	0.0009963548711039347	['B23']
Osmundastrum cinnamomeum	649130964	NC_024157.1	142812	FRN	Osmundaceae	12.0	1.0	85.0	0.0	0.0	0.0	0.0	2.0	2.322149310633699e-06	2.7568795961679774e-10	0.9999951406882163	1.0469766413099762e-11	2.111745672838942e-06	8.948600646948718e-08	4.758846087396086e-10	3.351687514510506e-07	['B23']
Solanum lycopersicum	544163592	NC_007898.3	155461	EUDI	Solanaceae	3.0	8.0	73.0	1.0	1.0	0.0	13.0	1.0	0.0024696434306602094	0.00018161444915781676	0.9700284832177272	2.119956210691384e-06	0.0005823012968737844	0.025104672822932217	4.42040668750009e-05	0.00158696075956321	['B23']
Citrus aurantiifolia	697964740	NC_024929.1	159893	EUDI	Rutaceae	3.0	4.0	83.0	1.0	1.0	0.0	8.0	0.0	0.00026566869972413057	4.427894719961097e-06	0.9937552290518598	1.8872170559513726e-07	0.0001761259842261153	0.005585397657657958	5.925950072334122e-06	0.0002070360400342594	['B23']
